zipcode	count	mean	median
75135	142	237749.05633802817	244117.5
75134	142	171423.27112676058	168000.0
75126	142	237754.87676056338	235274.75
75125	142	181351.86267605633	175625.0
75119	142	177192.29577464788	175000.0
75116	142	171517.67605633804	164500.0
75115	142	218133.53873239437	207750.0
75114	142	194705.588028169	208124.5
75104	142	205649.64436619717	192750.0
75094	142	392028.1091549296	364225.0
75075	142	311201.32746478874	310250.0
75093	142	494347.3943661972	463600.0
75089	142	262622.2429577465	253843.75
75088	142	240071.46478873238	230900.0
75087	142	307450.3309859155	295750.0
75082	142	371021.3591549296	359375.0
75081	142	269114.63732394367	267437.5
75080	142	295499.03873239434	297000.0
75078	142	498589.29929577466	450000.0
75077	142	321772.6056338028	309000.0
75232	142	155757.3028169014	148562.5
75233	142	217511.5105633803	226238.75
75234	142	249475.1690140845	240000.0
75235	142	209135.411971831	184700.0
76078	142	210948.161971831	186475.0
76073	142	289867.82042253524	276000.0
76071	142	217632.62676056338	200000.0
76066	142	306312.71830985916	319900.0
76065	142	307589.4823943662	298500.0
76064	142	249181.97183098592	235500.0
76063	142	298366.05633802817	279250.0
76060	142	281868.23943661974	271495.0
76059	142	162991.29577464788	144000.0
76058	142	207079.77816901408	185000.0
76054	142	281735.1161971831	275875.0
76053	142	199983.3415492958	196250.0
76052	142	260399.87676056338	247500.0
76051	142	359587.911971831	345000.0
76050	142	232580.3028169014	199250.0
76044	142	284972.57042253524	304350.0
76040	142	238395.99647887325	230000.0
76039	142	248958.53169014084	251975.0
76036	142	212658.96478873238	207360.5
76034	142	607150.9049295775	576250.0
76033	142	172509.59507042254	156875.0
76082	142	238546.14788732395	234750.0
76084	142	197133.49647887325	189950.0
76085	142	301981.4718309859	263100.0
76108	142	197614.38732394367	187850.0
76118	142	215152.54225352113	205750.0
76117	142	148593.4366197183	142000.0
76116	142	247916.45070422534	239975.0
76115	142	112937.71830985915	101000.0
76114	142	148783.4471830986	140000.0
76112	142	157038.52112676058	147500.0
76111	142	151810.8204225352	143625.0
76110	142	256635.45774647887	253417.25
76109	142	395579.4330985916	392125.0
76107	142	328232.6866197183	325000.0
76086	142	185136.67253521126	169225.0
76106	142	136872.98591549296	135000.0
76105	142	110930.7957746479	94500.0
76104	142	137427.78873239437	147900.0
76103	142	149994.9471830986	144000.0
76102	142	265486.61971830984	263000.0
76093	142	185232.0985915493	174250.0
76092	142	797955.2676056338	731250.0
76088	142	310888.51056338026	288000.0
76087	142	294275.5352112676	273873.0
76031	142	164274.7394366197	156950.0
76028	142	228299.96830985916	223475.0
76023	142	241547.80985915492	217700.0
75252	142	403704.2429577465	383615.75
75423	142	168268.84507042254	151450.0
75422	142	196560.63732394367	166750.0
75409	142	237253.30985915492	230882.0
75407	142	220669.55633802817	216000.0
75402	142	181778.04929577466	184997.5
75401	142	125916.98591549296	133450.0
75287	142	314167.44366197183	310000.0
75254	142	213241.35563380283	190750.0
75253	142	171017.52464788733	176250.0
75249	142	194113.25352112675	184175.0
75428	142	128309.37323943662	121125.0
75248	142	403365.3450704225	391125.0
75246	142	267925.4366197183	254900.0
75244	142	463300.3133802817	435800.0
75243	142	217672.6971830986	211000.0
75241	142	133669.6866197183	129950.0
75240	142	305371.1267605634	285000.0
75238	142	388716.23943661974	387500.0
75237	142	173083.35915492958	165475.0
75236	142	183129.57746478874	176100.0
75424	142	277399.61971830984	279680.0
75442	142	228019.6971830986	220647.0
76022	142	206009.82394366196	202550.0
76011	142	144084.29225352113	128875.0
76021	142	265513.30633802817	256500.0
76020	142	210675.11971830987	199250.0
76018	142	187393.0985915493	180625.0
76017	142	211852.72887323942	199925.0
76016	142	234614.67605633804	221250.0
76015	142	185541.86267605633	175250.0
76014	142	162310.7605633803	160747.5
76013	142	206627.47535211267	199875.0
76012	142	231780.28521126762	220500.0
76010	142	147932.6690140845	142500.0
75453	142	168268.78169014084	140125.0
76009	142	175324.91549295775	170675.0
76008	142	373693.8485915493	359387.5
76006	142	249171.47535211267	232500.0
76005	142	393972.48943661974	381250.0
76002	142	232155.63732394367	222500.0
76001	142	234012.8415492958	227250.0
75496	142	132837.61971830987	122425.0
75474	142	146363.24647887325	129500.0
75454	142	304710.3908450704	280000.0
75039	142	440477.73943661974	429625.0
75036	142	378968.0070422535	353500.0
78659	142	278776.9788732394	256250.0
62293	142	170116.00352112675	153750.0
63023	142	147780.338028169	148325.0
63021	142	247536.14436619717	239500.0
63020	142	125650.06690140846	122250.0
63019	142	131128.5105633803	122000.0
63017	142	365192.3591549296	352500.0
63016	142	165433.06690140846	148327.5
63015	142	164750.54225352113	153600.0
63014	142	169185.18309859154	125000.5
63013	142	191383.47887323942	165000.0
63012	142	173674.69366197183	164950.0
63011	142	295512.96830985916	285000.0
63010	142	175406.8661971831	163725.0
63005	142	595748.7746478873	561250.0
62690	142	80241.38028169014	77875.0
62685	142	106150.71126760563	93500.0
62674	142	99744.35915492958	78000.0
62640	142	98057.04225352113	88500.0
62626	142	92644.24295774648	87375.0
62572	142	136742.16549295775	169000.0
62298	142	221892.89084507042	211250.0
62295	142	147614.70422535212	138125.0
63025	142	301797.8732394366	296500.0
63026	142	230001.9084507042	217350.0
63028	142	179230.95422535212	165125.0
63048	142	191573.35915492958	179000.0
63068	142	129822.89788732394	131500.0
63061	142	327577.9929577465	105000.0
63060	142	139423.02816901408	128750.0
63056	142	141123.4366197183	120000.0
63055	142	254671.22535211267	248125.0
63052	142	204476.05633802817	195000.0
63051	142	172116.75	172225.0
63050	142	193509.83450704225	182491.5
63049	142	175910.02112676058	169925.0
63044	142	177933.0	165950.0
63031	142	103085.22535211267	95000.0
63043	142	167955.45774647887	155670.0
63042	142	97875.31338028169	99475.0
63041	142	143423.48591549296	109850.0
63040	142	325416.9014084507	316875.0
63039	142	144197.88732394367	130000.0
63038	142	464359.2640845071	438250.0
63037	142	132402.70422535212	128770.0
63034	142	173962.41549295775	165250.0
63033	142	113740.22535211267	105250.0
62294	142	219573.41549295775	202500.0
62285	142	223892.49295774646	217450.0
75035	142	399138.46126760566	377500.0
62284	142	70647.18309859154	30000.0
62231	142	108135.29929577465	107625.0
62230	142	159028.4295774648	151250.0
62226	142	118126.42253521127	118000.0
62223	142	110559.19014084506	104225.0
62221	142	163188.6795774648	155500.0
62220	142	102829.01056338029	95500.0
62219	142	71545.04225352113	68625.0
62218	142	154293.838028169	139000.0
62216	142	195217.83450704225	182125.0
62215	142	177499.24647887325	164125.0
62208	142	129679.7852112676	125000.0
62207	142	23876.271126760563	16062.5
62206	142	25653.330985915494	22062.5
62205	142	16092.897887323943	9500.0
62204	142	9645.235915492958	5462.0
62203	142	27496.665492957745	20375.0
62201	142	40942.373239436616	33750.0
62097	142	201741.92605633804	187250.0
62095	142	81128.44014084506	80000.0
62093	142	34021.30281690141	26000.0
62088	142	101671.72887323944	105000.0
62232	142	139976.4014084507	129750.0
62234	142	125510.0352112676	121750.0
62236	142	230646.05633802817	218750.0
62255	142	142220.14084507042	118500.0
62281	142	225096.58450704225	204500.0
62275	142	149968.28873239437	156500.0
62269	142	224929.71126760563	215000.0
62265	142	148719.47535211267	144700.0
62264	142	104419.71830985915	105500.0
62262	142	109839.83802816902	98000.0
62260	142	198328.96478873238	195900.0
62258	142	185589.92253521126	180000.0
62257	142	63446.52464788732	60875.0
62254	142	139839.08450704225	129100.0
62239	142	96971.7147887324	87500.0
62253	142	83262.82746478873	70750.0
62250	142	86249.02112676056	82791.75
62249	142	156840.72535211267	149475.0
62248	142	124865.84507042254	114000.0
62246	142	102700.0	95500.0
62245	142	149905.39084507042	128375.0
62244	142	219722.17253521126	200000.0
62243	142	185633.45070422534	171750.0
62240	142	88548.30985915494	66335.0
63069	142	194072.5985915493	182675.0
63070	142	160834.3309859155	147725.0
63072	142	156329.661971831	149622.5
63073	142	705084.4577464788	637225.0
63377	142	216651.64788732395	177000.0
63376	142	203444.3028169014	191250.0
63373	142	102805.28169014085	87562.5
63369	142	227778.92253521126	225000.0
63368	142	263013.4401408451	245000.0
63367	142	277690.6267605634	254350.0
63366	142	216674.4295774648	206950.0
63362	142	187684.57746478874	169950.0
63357	142	193357.7394366197	170750.0
63349	142	186588.27112676058	170450.0
63348	142	271108.54929577466	255000.0
63347	142	176517.79577464788	155000.0
63343	142	103074.42253521127	97225.0
63341	142	446131.49647887325	400750.0
63332	142	349765.1408450704	346250.0
63304	142	250584.74295774646	234650.0
63303	142	224860.29225352113	222250.0
63301	142	200023.8309859155	185500.0
63147	142	27591.447183098593	23000.0
63146	142	217254.57746478874	214753.75
63144	142	197684.1161971831	192750.0
63379	142	183646.411971831	169700.0
63380	142	179867.4471830986	176017.5
63381	142	160139.64084507042	120000.0
75013	142	453640.09154929576	430000.0
75034	142	525289.823943662	480000.0
75033	142	448890.2323943662	413250.0
75032	142	357515.9718309859	338747.5
75028	142	362405.4823943662	343500.0
75025	142	374329.2957746479	355250.0
75024	142	441717.7957746479	417500.0
75023	142	287377.6408450704	285750.0
75022	142	491822.41549295775	467500.0
75019	142	421119.92253521126	410375.0
75010	142	346958.9401408451	339973.75
63383	142	160941.44014084508	153675.0
75009	142	379621.1866197183	363634.5
75007	142	273860.7711267606	272250.0
75006	142	247437.69014084508	242000.0
75002	142	311169.9647887324	290950.0
75001	142	344096.3133802817	330000.0
63390	142	194153.98591549296	179400.0
63389	142	160936.10563380283	148750.0
63386	142	77638.16197183098	61425.0
63385	142	250060.20774647887	232950.75
63143	142	172717.32394366196	165475.0
63141	142	394506.5	391625.0
63139	142	161129.53169014084	152250.0
63104	142	227950.08450704225	220875.0
63113	142	32480.429577464787	20250.0
63112	142	148350.4190140845	158000.0
63111	142	75131.81338028169	70000.0
63110	142	233400.22183098592	225000.0
63109	142	190310.30633802817	177500.0
63108	142	284621.78873239434	284625.0
63107	142	25072.6161971831	15500.0
63106	142	83147.61267605633	66149.5
63105	142	512977.47535211267	499225.0
63103	142	136930.161971831	135300.0
63115	142	22280.890845070422	16125.0
63102	142	166492.71478873238	157750.0
63101	142	201556.39084507042	195000.0
63090	142	198675.87323943662	180747.5
63089	142	197110.64084507042	199950.0
63088	142	186871.03873239437	179900.0
63084	142	158017.6584507042	154750.0
63080	142	116392.25352112677	109600.0
63077	142	123266.73591549296	118000.0
63074	142	86027.52112676056	75400.0
63114	142	78790.96126760563	76250.0
63116	142	126474.67957746479	122000.0
63138	142	74365.3838028169	65375.0
63128	142	238175.04225352113	235000.0
63137	142	42021.29929577465	35500.0
63136	142	36081.02464788732	26750.0
63135	142	56991.05281690141	50123.75
63134	142	50935.04929577465	41427.5
63133	142	29759.63732394366	23144.5
63132	142	298312.73943661974	289950.0
63131	142	622308.352112676	608500.0
63130	142	258354.21478873238	264850.0
63129	142	216706.81690140846	208500.0
63127	142	438925.95774647885	432500.0
63117	142	266278.338028169	269000.0
63126	142	217147.19366197183	205250.0
63125	142	124204.70070422535	122625.0
63124	142	779062.1408450705	786250.0
63123	142	157582.20422535212	146512.5
63122	142	318191.03873239434	302250.0
63121	142	46783.640845070426	37712.5
63120	142	16073.028169014084	11000.0
63119	142	242972.37323943662	234750.0
63118	142	124893.70070422535	125000.0
76119	142	129407.12323943662	128250.0
76120	142	206433.64436619717	185500.0
76123	142	207428.03521126762	191191.0
77573	142	279470.573943662	275731.5
78013	142	406056.07746478874	352200.0
78009	142	318694.4014084507	322375.0
78006	142	398265.5598591549	369423.5
78004	142	524700.7992957747	436000.0
78003	142	225388.02816901408	207625.0
78002	142	210016.38028169013	207619.75
77873	142	364999.44366197183	349250.0
77665	142	165727.64436619717	170500.0
77661	142	0.0	0.0
77650	142	321626.75352112675	279000.0
77598	142	177154.50352112675	170000.0
77597	142	292679.76056338026	265000.0
77591	142	165668.3661971831	155625.0
77590	142	132666.64084507042	123450.0
77587	142	131069.62323943662	120000.0
77586	142	258991.15492957746	250000.0
77584	142	270525.46830985916	267000.0
77583	142	240193.3838028169	237748.5
77581	142	256083.6584507042	252757.5
77578	142	307908.3591549296	298141.75
77577	142	187996.161971831	150000.0
78015	142	418065.073943662	388205.5
78016	142	175145.97535211267	165000.0
78023	142	322988.96830985916	308375.0
78070	142	364552.34154929576	347500.0
78123	142	382297.0352112676	347625.0
78121	142	356465.08450704225	330250.0
78114	142	256607.10563380283	254950.0
78113	142	268955.6338028169	276750.0
78112	142	151745.71478873238	144875.0
78109	142	186897.1866197183	179050.0
78108	142	250394.5704225352	237200.0
78101	142	323291.1901408451	294950.0
78073	142	180004.6584507042	170820.0
78069	142	178582.07746478874	155625.0
78026	142	158105.97887323942	159900.0
78066	142	324867.04225352115	300000.0
78065	142	164731.02464788733	175637.5
78064	142	208851.05985915492	202950.0
78063	142	235967.06690140846	208353.0
78059	142	243852.89084507042	237125.0
78056	142	407989.7852112676	352500.0
78055	142	310485.5281690141	266250.0
78052	142	229264.9894366197	228500.0
78039	142	201167.61971830987	176600.0
77575	142	152233.69366197183	140000.0
77571	142	180468.49647887325	175250.0
76126	142	284213.588028169	283111.0
77568	142	177564.4823943662	193225.0
77517	142	251921.71478873238	247375.0
77515	142	181100.63028169013	174975.0
77514	142	175602.68309859154	155625.0
77511	142	196593.35563380283	189000.0
77510	142	205390.13732394367	195725.0
77506	142	111249.91197183098	113500.0
77505	142	224586.42253521126	229000.0
77504	142	178754.0915492958	174000.0
77503	142	141602.63732394367	136325.0
77502	142	143586.41549295775	141250.0
77498	142	227497.25704225354	222250.0
77494	142	354000.5598591549	330000.0
77493	142	251601.8485915493	246997.5
77489	142	153131.16549295775	148825.0
77486	142	194863.0985915493	195000.0
77485	142	207567.0	187000.0
77484	142	287104.5985915493	259000.0
77480	142	162657.33450704225	160000.0
77479	142	393576.23943661974	383175.0
77478	142	323126.2288732394	320000.0
77477	142	202209.01408450704	195750.0
77518	142	168910.7605633803	169590.0
77520	142	127450.86971830986	129850.0
77521	142	185674.4366197183	179975.0
77547	142	100337.11971830986	84000.0
77566	142	202035.30985915492	199900.0
77565	142	283203.71126760566	277000.0
77564	142	121126.84154929577	118875.0
77563	142	217917.52464788733	203750.0
77562	142	154169.20422535212	150000.0
77560	142	205844.71126760563	191250.0
77554	142	366238.161971831	327500.0
77551	142	173246.45774647887	155000.0
77550	142	221947.9471830986	195000.0
77546	142	272126.63028169016	260500.0
77523	142	253080.8661971831	245500.0
77545	142	202858.9471830986	202000.0
77541	142	190878.28169014084	168200.0
77539	142	204233.8204225352	195500.0
77536	142	197487.47183098592	197200.0
77535	142	213803.87323943662	204975.0
77534	142	190102.79929577466	190000.0
77532	142	195661.85915492958	195450.0
77531	142	202108.9366197183	206500.0
77530	142	142283.74647887325	135975.0
78124	142	279841.86267605633	276500.0
78130	142	241692.1866197183	233237.5
78132	142	411686.11267605633	388700.0
78133	142	258619.61971830987	235000.0
78613	142	339952.04929577466	298750.0
78612	142	299911.5633802817	254500.0
78610	142	282790.54929577466	256646.25
78602	142	248767.71830985916	232062.5
78266	142	403412.8943661972	399737.5
78264	142	154434.19014084508	146875.0
78263	142	301118.8133802817	279700.0
78261	142	322835.4190140845	295000.0
78260	142	363441.5669014084	340700.0
78259	142	289063.0528169014	270250.0
78258	142	356937.67253521126	329987.5
78257	142	561353.9718309859	513500.0
78256	142	434112.0528169014	395375.0
78255	142	407181.45070422534	384750.0
78254	142	233451.50352112675	219825.0
78253	142	258437.11971830987	249900.0
78252	142	188314.5105633803	175450.0
78251	142	200067.87323943662	188000.0
78250	142	175902.61267605633	166950.0
78249	142	225142.24295774646	211250.0
78248	142	367766.2288732394	349625.0
78615	142	308114.79225352115	209750.0
78616	142	292696.3028169014	272025.0
78617	142	210029.95070422534	187837.5
78640	142	232255.48591549296	214000.0
78655	142	290297.25352112675	240000.0
78653	142	228925.02816901408	204650.0
78652	142	342048.04225352115	326547.0
78650	142	343113.0070422535	285500.0
78648	142	167009.28169014084	155000.0
78645	142	297444.32042253524	274750.0
78644	142	199632.67253521126	180500.0
78642	142	358908.29225352115	328500.0
78641	142	299730.4647887324	279042.75
78638	142	392313.588028169	320000.0
78619	142	640737.1338028169	574047.5
78634	142	243143.89436619717	223747.5
78633	142	329449.2359154929	314250.0
78632	142	0.0	0.0
78628	142	358177.4718309859	334022.5
78626	142	261395.12676056338	247069.75
78623	142	300283.13732394367	271348.75
78622	142	90042.25352112677	49000.0
78621	142	201835.82394366196	193997.5
78620	142	469555.4366197183	432173.0
78247	142	205391.76408450704	190750.0
78245	142	199071.92253521126	185275.0
78244	142	163160.91549295775	151750.0
78203	142	138161.58450704225	122425.0
78213	142	171102.9295774648	165000.0
78212	142	280780.3133802817	277950.0
78211	142	103682.73943661971	93369.0
78210	142	146353.52816901408	149600.0
78209	142	358246.77464788733	359750.0
78208	142	174021.04929577466	167750.0
78207	142	76125.01760563381	67750.0
78205	142	548885.4154929577	518000.0
78204	142	209237.21478873238	215000.0
78202	142	149024.85915492958	150500.0
78215	142	343023.9929577465	339500.0
78201	142	156393.4894366197	154800.0
78163	142	352939.3521126761	343989.5
78161	142	191072.22535211267	171500.0
78160	142	179086.13732394367	166193.75
78155	142	217200.79577464788	201381.25
78154	142	233121.0176056338	218975.0
78152	142	249895.6866197183	252622.5
78148	142	197623.69366197183	181000.0
78147	142	238323.46478873238	254000.0
78214	142	115603.91197183098	110987.5
78216	142	226805.0704225352	217550.0
78242	142	125824.19718309859	124625.0
78228	142	141101.57394366196	133950.0
78240	142	195035.91549295775	185000.0
78239	142	165275.2605633803	155975.0
78238	142	166736.30985915492	156750.0
78237	142	100220.7852112676	87368.5
78233	142	171531.43309859154	160500.0
78232	142	274670.28169014084	262125.0
78231	142	312904.4014084507	307000.0
78230	142	265285.53169014084	254352.5
78229	142	141609.85563380283	135000.0
78227	142	126518.12676056338	124950.0
78217	142	170958.661971831	157750.0
78226	142	99175.57746478873	85500.0
78225	142	99669.71830985915	89900.0
78224	142	153571.55633802817	140750.0
78223	142	149418.42605633804	151650.0
78222	142	172753.4823943662	163400.0
78221	142	154971.3661971831	157375.0
78220	142	106853.72535211267	87700.0
78219	142	124130.27464788733	114237.5
78218	142	155554.80633802817	154404.0
77476	142	638000.0	638000.0
77474	142	233243.5985915493	213750.0
77471	142	208556.6584507042	196000.0
77057	142	247381.22183098592	246625.0
77030	142	387819.46126760566	375000.0
77029	142	102129.44718309859	89100.0
77028	142	101677.87676056338	73027.5
77027	142	612706.1690140845	597701.0
77026	142	99582.51760563381	81250.0
77025	142	402944.73943661974	400000.0
77024	142	819262.9929577465	831025.0
77023	142	245621.28873239437	261250.0
77022	142	167422.40492957746	151975.0
77021	142	186110.9823943662	172500.0
77020	142	228288.15492957746	265600.0
77019	142	543230.6161971831	541939.0
77018	142	397139.49647887325	400000.0
77017	142	132088.9366197183	120000.0
77016	142	116626.51760563381	105000.0
77015	142	141133.1971830986	137000.0
77014	142	168362.2394366197	164285.75
77013	142	128327.11971830986	127750.0
77012	142	121034.09154929577	115500.0
77011	142	184904.55985915492	187000.0
77009	142	379225.7042253521	385000.0
77031	142	175378.11971830987	169750.0
77032	142	108019.01760563381	99849.0
77033	142	99375.0	92250.0
77045	142	148404.47183098592	139000.0
77055	142	487502.7781690141	501333.5
77054	142	145053.34507042254	148500.0
77053	142	133217.72887323942	127850.0
77051	142	147381.5985915493	154450.0
77050	142	122780.12676056338	116000.0
77049	142	180428.54929577466	171725.0
77048	142	157782.3028169014	152500.0
77047	142	178464.83450704225	172250.0
77046	142	310374.38028169016	286325.0
77044	142	243898.6690140845	233575.0
77034	142	161068.13028169013	151000.0
77043	142	312897.45774647885	323536.5
77042	142	234213.50352112675	232125.0
77041	142	257192.98591549296	240000.0
77040	142	205221.8661971831	197975.0
77039	142	116363.74295774648	118375.0
77038	142	156214.52816901408	144500.0
77037	142	132430.8204225352	126500.0
77036	142	149436.34507042254	145875.0
77035	142	222754.05633802817	225750.0
77008	142	445056.161971831	435587.5
77007	142	423253.53169014084	419900.0
77006	142	476889.46830985916	484500.0
76179	142	222270.3204225352	213350.0
76225	142	219197.23591549296	190750.0
76210	142	268210.8838028169	254450.0
76209	142	200540.79929577466	192725.0
76208	142	292503.92253521126	278000.0
76207	142	259342.96478873238	255950.0
76205	142	260853.01408450704	247600.0
76201	142	199465.3028169014	192750.0
76182	142	289015.95774647885	279950.0
76180	142	224785.5985915493	220125.0
76177	142	265979.0985915493	263500.0
76227	142	255418.38732394367	246620.0
76164	142	119795.91549295775	106728.25
76148	142	174783.89788732395	172000.0
76140	142	167588.29929577466	153750.0
76137	142	216602.79225352113	204375.0
76135	142	193246.38732394367	188097.0
76134	142	165878.13732394367	165100.0
76133	142	177044.02464788733	170093.75
76132	142	333271.5352112676	323500.0
76131	142	230236.27464788733	230750.0
76226	142	408854.5211267606	386725.0
76234	142	275607.67253521126	270352.5
77005	142	1133538.1514084507	1151125.0
76527	142	262283.86267605633	247000.0
77004	142	322919.70774647885	317750.0
77003	142	330225.61267605633	330000.0
77002	142	261520.04929577466	262750.0
76670	142	177069.59507042254	150575.0
76651	142	160720.95774647887	155000.0
76578	142	198514.7394366197	169300.0
76574	142	198500.0528169014	178000.0
76537	142	193644.3661971831	180000.0
76530	142	199837.89084507042	169375.0
76487	142	306060.86971830984	299375.0
76244	142	265569.48943661974	250822.0
76431	142	216963.17605633804	193250.0
76426	142	191264.35915492958	158750.0
76266	142	227015.65492957746	220000.0
76262	142	412745.4330985916	395675.0
76259	142	246990.79577464788	217000.0
76258	142	230750.3133802817	226900.0
76249	142	218808.42253521126	207875.0
76248	142	425650.4542253521	395950.0
76247	142	246279.43309859154	222500.0
77056	142	502819.79929577466	516500.0
77058	142	168958.58450704225	167975.0
77469	142	245409.4823943662	238710.75
77059	142	330505.9366197183	331200.0
77385	142	244031.10211267605	224000.0
77384	142	316054.4471830986	306500.0
77382	142	388843.22535211267	364436.0
77381	142	361028.7218309859	341250.0
77380	142	320195.78169014084	289500.0
77379	142	261335.11971830987	249450.0
77378	142	163789.17605633804	158500.0
77377	142	282554.80633802817	264975.0
77375	142	253887.1161971831	240000.0
77373	142	167315.4366197183	155692.5
77372	142	181664.9894366197	192095.75
77365	142	231591.65492957746	227350.0
77362	142	282102.42253521126	288000.0
77357	142	224457.69014084508	235742.5
77356	142	258512.4014084507	238210.0
77355	142	259771.8204225352	254450.0
77354	142	291056.70774647885	285950.0
77346	142	232497.71830985916	219475.0
77345	142	297241.9647887324	282900.0
77339	142	210216.96830985916	200250.0
77338	142	163310.80985915492	158000.0
77386	142	265444.13732394367	257602.5
77388	142	214245.21126760563	205000.0
77389	142	324439.1549295775	300250.25
77441	142	418296.4823943662	404693.75
77464	142	166566.9014084507	158000.0
77461	142	238459.89084507042	225000.0
77459	142	298748.04225352115	285000.0
77451	142	94470.51760563381	111990.0
77450	142	274814.25	259476.0
77449	142	189871.02112676058	179112.5
77447	142	216119.67605633804	216975.0
77445	142	196036.44366197183	190000.0
77444	142	176203.9894366197	115250.0
77433	142	307974.0985915493	290000.0
77396	142	202351.12323943662	197337.5
77430	142	244175.1866197183	236565.0
77429	142	262795.4859154929	250000.0
77423	142	262436.53169014084	262250.0
77422	142	164583.1690140845	159000.0
77418	142	263038.6901408451	240500.0
77417	142	166743.80633802817	139000.0
77407	142	274238.1338028169	270181.25
77406	142	296962.99647887325	285000.0
77401	142	857237.3169014085	870000.0
77336	142	230231.0809859155	228500.0
77327	142	149583.37676056338	146450.0
77318	142	228446.4823943662	220716.0
77070	142	211047.5633802817	196875.0
77079	142	469005.2218309859	478000.0
77078	142	111632.93309859154	101990.0
77077	142	307346.8098591549	309500.0
77076	142	138427.87323943662	134500.0
77075	142	178886.43309859154	170750.0
77074	142	155279.41549295775	152000.0
77073	142	161127.02112676058	149725.0
77072	142	133329.20774647887	131250.0
77071	142	159730.0915492958	159900.0
77069	142	240991.31690140846	227000.0
77081	142	298103.0352112676	303000.0
77068	142	220383.02464788733	208498.75
77067	142	144943.9014084507	138500.0
77066	142	179138.82746478874	169950.0
77065	142	199123.6584507042	187250.0
77064	142	190282.21830985916	182000.0
77063	142	211424.3661971831	205500.0
77062	142	224586.93309859154	219700.0
77061	142	162226.1795774648	171000.0
77060	142	123886.23943661971	120000.0
77080	142	284676.2288732394	296723.75
77082	142	189208.45774647887	185800.0
77316	142	334853.03873239434	331968.0
77094	142	403271.6408450704	390000.0
77306	142	157831.20070422534	152750.0
77304	142	261321.1338028169	251247.5
77303	142	187699.29929577466	176250.0
77302	142	221941.20774647887	197975.0
77301	142	194173.0985915493	193025.0
77099	142	141709.52816901408	136500.0
77098	142	595515.7007042253	598791.25
77096	142	349431.8767605634	350000.0
77095	142	228494.0528169014	215000.0
77093	142	114725.59154929577	108000.0
77083	142	179652.28521126762	175000.0
77092	142	227017.85563380283	227375.0
77091	142	192947.76408450704	175625.0
77090	142	176222.88732394367	162075.0
77089	142	189619.1584507042	181500.0
77088	142	151257.64788732395	140000.0
77087	142	134894.71830985916	125000.0
77086	142	146825.1584507042	140000.0
77085	142	161086.14084507042	158750.0
77084	142	185981.22183098592	172444.0
62087	142	56768.00704225352	51402.5
62086	142	111457.08802816902	89901.0
